#title Effective Area[m^2]
#yName icDCnu{c} icDCnuBar{c} ic22nu{c} ic22nuBar{c} 
#xName Enu
#xMin 1.000000E+01
#xMax 1.000000E+03
#xDim  150 150 150 150
#xScale 1
#---   starting of data ---
#  icDCnu        icDCnuBar     ic22nu        ic22nuBar   
 1.127439E-05   5.536030E-06   0.000000E+00   0.000000E+00  
 1.255226E-05   6.124501E-06   0.000000E+00   0.000000E+00  
 1.370370E-05   6.725129E-06   0.000000E+00   0.000000E+00  
 1.470603E-05   7.334689E-06   0.000000E+00   0.000000E+00  
 1.570800E-05   7.914034E-06   0.000000E+00   0.000000E+00  
 1.670168E-05   8.466662E-06   0.000000E+00   0.000000E+00  
 1.774730E-05   8.978260E-06   0.000000E+00   0.000000E+00  
 1.888875E-05   9.443787E-06   0.000000E+00   0.000000E+00  
 1.989620E-05   9.904900E-06   0.000000E+00   0.000000E+00  
 2.058596E-05   1.032253E-05   0.000000E+00   0.000000E+00  
 2.159713E-05   1.088286E-05   0.000000E+00   0.000000E+00  
 2.354425E-05   1.162214E-05   0.000000E+00   0.000000E+00  
 2.652249E-05   1.285251E-05   0.000000E+00   0.000000E+00  
 3.078164E-05   1.475668E-05   1.632298E-08   0.000000E+00  
 3.530171E-05   1.764298E-05   2.439107E-08   0.000000E+00  
 4.071904E-05   2.087126E-05   3.619510E-08   0.000000E+00  
 4.777903E-05   2.407535E-05   5.334037E-08   0.000000E+00  
 5.770039E-05   2.776810E-05   7.806379E-08   0.000000E+00  
 6.573637E-05   3.293726E-05   1.134568E-07   0.000000E+00  
 7.477489E-05   3.846027E-05   1.637567E-07   0.000000E+00  
 8.777625E-05   4.372159E-05   2.347225E-07   0.000000E+00  
 1.015212E-04   4.908765E-05   3.341164E-07   0.000000E+00  
 1.159903E-04   5.550272E-05   4.723113E-07   0.000000E+00  
 1.312491E-04   6.351769E-05   6.630499E-07   3.962704E-07  
 1.466775E-04   7.506478E-05   9.243819E-07   5.717443E-07  
 1.686120E-04   8.710971E-05   1.279806E-06   8.178270E-07  
 2.000948E-04   9.868260E-05   1.759641E-06   1.159766E-06  
 2.275666E-04   1.105896E-04   2.402655E-06   1.630529E-06  
 2.524592E-04   1.240708E-04   3.257963E-06   2.272669E-06  
 2.733901E-04   1.398091E-04   4.387208E-06   3.140459E-06  
 3.060949E-04   1.587406E-04   5.867022E-06   4.302288E-06  
 3.516219E-04   1.801919E-04   7.791743E-06   5.843258E-06  
 3.999524E-04   2.036517E-04   1.027635E-05   7.867922E-06  
 4.510455E-04   2.250705E-04   1.345955E-05   1.050302E-05  
 5.041181E-04   2.458466E-04   1.750691E-05   1.390010E-05  
 5.571678E-04   2.768949E-04   2.261392E-05   1.823774E-05  
 6.147956E-04   3.118754E-04   2.900878E-05   2.372321E-05  
 6.880832E-04   3.429335E-04   3.695478E-05   3.059321E-05  
 7.661179E-04   3.776059E-04   4.675188E-05   3.911345E-05  
 8.413122E-04   4.177519E-04   5.873742E-05   4.957657E-05  
 9.365357E-04   4.641699E-04   7.328551E-05   6.229830E-05  
 1.049661E-03   5.160902E-04   9.080478E-05   7.761135E-05  
 1.159694E-03   5.666673E-04   1.116524E-04   9.573074E-05  
 1.275547E-03   6.235832E-04   1.360573E-04   1.166334E-04  
 1.412337E-03   6.984615E-04   1.644070E-04   1.405043E-04  
 1.558532E-03   7.794393E-04   1.971264E-04   1.675545E-04  
 1.705647E-03   8.620549E-04   2.346797E-04   1.980280E-04  
 1.879996E-03   9.464489E-04   2.775835E-04   2.322232E-04  
 2.087831E-03   1.032722E-03   3.264221E-04   2.705186E-04  
 2.257379E-03   1.122890E-03   3.818689E-04   3.134046E-04  
 2.379175E-03   1.217204E-03   4.447117E-04   3.615221E-04  
 2.555544E-03   1.315763E-03   5.158851E-04   4.157094E-04  
 2.785341E-03   1.421351E-03   5.965109E-04   4.770616E-04  
 3.057928E-03   1.550479E-03   6.879479E-04   5.470072E-04  
 3.381654E-03   1.693647E-03   7.911486E-04   6.266857E-04  
 3.600214E-03   1.820876E-03   9.043843E-04   7.144751E-04  
 3.713771E-03   1.960263E-03   1.027825E-03   8.105121E-04  
 4.088182E-03   2.147336E-03   1.162040E-03   9.152786E-04  
 4.856079E-03   2.421297E-03   1.307745E-03   1.029330E-03  
 5.573487E-03   2.850337E-03   1.465851E-03   1.153319E-03  
 6.009783E-03   3.101868E-03   1.637517E-03   1.288025E-03  
 6.405317E-03   3.240616E-03   1.824212E-03   1.434383E-03  
 6.814603E-03   3.469840E-03   2.027790E-03   1.593523E-03  
 7.243173E-03   3.759283E-03   2.250574E-03   1.766809E-03  
 7.689177E-03   4.034567E-03   2.495460E-03   1.955896E-03  
 8.138002E-03   4.303403E-03   2.766048E-03   2.162780E-03  
 8.670355E-03   4.606643E-03   3.066190E-03   2.389376E-03  
 9.378890E-03   4.948270E-03   3.393657E-03   2.632558E-03  
 1.013080E-02   5.288074E-03   3.748622E-03   2.891846E-03  
 1.074855E-02   5.615979E-03   4.132721E-03   3.168159E-03  
 1.131543E-02   5.980367E-03   4.547651E-03   3.462615E-03  
 1.195445E-02   6.409380E-03   4.995174E-03   3.776572E-03  
 1.267267E-02   6.858030E-03   5.477120E-03   4.111673E-03  
 1.355611E-02   7.296475E-03   5.995398E-03   4.469898E-03  
 1.461681E-02   7.752451E-03   6.551998E-03   4.853618E-03  
 1.547589E-02   8.256001E-03   7.148999E-03   5.265670E-03  
 1.612827E-02   8.776964E-03   7.788580E-03   5.709427E-03  
 1.696510E-02   9.252906E-03   8.473032E-03   6.188896E-03  
 1.830893E-02   9.708336E-03   9.204567E-03   6.708675E-03  
 1.970861E-02   1.024473E-02   9.978615E-03   7.268129E-03  
 2.090989E-02   1.086504E-02   1.079364E-02   7.867049E-03  
 2.204496E-02   1.158698E-02   1.165181E-02   8.507436E-03  
 2.317792E-02   1.244809E-02   1.255576E-02   9.191306E-03  
 2.434525E-02   1.330120E-02   1.350871E-02   9.920686E-03  
 2.602907E-02   1.405756E-02   1.451451E-02   1.069760E-02  
 2.809919E-02   1.481973E-02   1.557777E-02   1.152405E-02  
 2.990340E-02   1.562540E-02   1.670396E-02   1.240202E-02  
 3.130088E-02   1.649727E-02   1.789952E-02   1.333344E-02  
 3.319196E-02   1.754242E-02   1.917203E-02   1.432019E-02  
 3.564547E-02   1.872911E-02   2.053034E-02   1.536407E-02  
 3.791037E-02   1.985111E-02   2.198479E-02   1.646679E-02  
 3.926993E-02   2.091048E-02   2.353288E-02   1.762686E-02  
 4.045234E-02   2.203241E-02   2.516641E-02   1.884308E-02  
 4.260542E-02   2.323898E-02   2.689032E-02   2.011822E-02  
 4.538834E-02   2.445055E-02   2.871013E-02   2.145540E-02  
 4.808906E-02   2.558301E-02   3.063194E-02   2.285823E-02  
 5.039996E-02   2.671020E-02   3.266250E-02   2.433082E-02  
 5.302306E-02   2.794750E-02   3.480935E-02   2.587786E-02  
 5.614616E-02   2.929470E-02   3.708083E-02   2.750468E-02  
 5.951949E-02   3.101941E-02   3.948623E-02   2.921736E-02  
 6.308860E-02   3.321734E-02   4.203591E-02   3.102276E-02  
 6.663147E-02   3.514599E-02   4.474137E-02   3.292869E-02  
 6.890393E-02   3.644832E-02   4.761545E-02   3.494396E-02  
 7.104882E-02   3.838361E-02   5.066672E-02   3.707278E-02  
 7.596153E-02   4.176392E-02   5.389501E-02   3.931019E-02  
 8.282473E-02   4.515849E-02   5.730890E-02   4.165989E-02  
 8.849155E-02   4.773483E-02   6.091769E-02   4.412595E-02  
 9.313253E-02   5.001230E-02   6.473105E-02   4.671248E-02  
 9.744287E-02   5.224473E-02   6.875901E-02   4.942364E-02  
 1.016498E-01   5.439066E-02   7.301203E-02   5.226362E-02  
 1.058739E-01   5.677165E-02   7.750096E-02   5.523663E-02  
 1.102825E-01   5.934472E-02   8.223706E-02   5.834691E-02  
 1.150664E-01   6.231960E-02   8.723200E-02   6.159869E-02  
 1.207698E-01   6.608959E-02   9.249792E-02   6.499621E-02  
 1.273443E-01   6.995050E-02   9.804735E-02   6.854370E-02  
 1.334278E-01   7.269062E-02   1.038933E-01   7.224537E-02  
 1.382849E-01   7.483342E-02   1.100493E-01   7.610540E-02  
 1.432866E-01   7.816753E-02   1.165292E-01   8.012791E-02  
 1.499665E-01   8.296581E-02   1.233473E-01   8.431701E-02  
 1.576797E-01   8.766896E-02   1.305187E-01   8.867669E-02  
 1.650075E-01   9.164734E-02   1.380587E-01   9.321090E-02  
